"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]"
44200,262.81,158.751,0.00210433
44250,262.95,157.723,0.00208959
44300,263.09,156.702,0.00207496
44350,263.23,155.688,0.00206044
44400,263.37,154.682,0.00204602
44450,263.51,153.682,0.00203172
44500,263.65,152.689,0.00201752
44550,263.79,151.703,0.00200343
44600,263.93,150.724,0.00198945
44650,264.07,149.752,0.00197557
44700,264.21,148.787,0.0019618
44750,264.35,147.829,0.00194813
44800,264.49,146.877,0.00193456
44850,264.63,145.931,0.00192109
44900,264.77,144.993,0.00190772
44950,264.91,144.061,0.00189446
45000,265.05,143.135,0.00188129
45050,265.19,142.216,0.00186822
45100,265.33,141.303,0.00185525
45150,265.47,140.396,0.00184237
45200,265.61,139.496,0.0018296
45250,265.75,138.602,0.00181691
45300,265.89,137.714,0.00180432
45350,266.03,136.832,0.00179183
45400,266.17,135.957,0.00177943
45450,266.31,135.087,0.00176712
45500,266.45,134.224,0.0017549
45550,266.59,133.366,0.00174277
45600,266.73,132.515,0.00173074
45650,266.87,131.669,0.00171879
45700,267.01,130.829,0.00170693
45750,267.15,129.995,0.00169516
45800,267.29,129.167,0.00168348
45850,267.43,128.344,0.00167188
45900,267.57,127.527,0.00166037
45950,267.71,126.716,0.00164894
46000,267.85,125.91,0.0016376
46050,267.99,125.11,0.00162634
46100,268.13,124.315,0.00161517
46150,268.27,123.526,0.00160408
46200,268.41,122.742,0.00159307
46250,268.55,121.964,0.00158214
46300,268.69,121.191,0.00157129
46350,268.83,120.423,0.00156052
46400,268.97,119.66,0.00154983
46450,269.11,118.903,0.00153922
46500,269.25,118.151,0.00152869
46550,269.39,117.404,0.00151824
46600,269.53,116.662,0.00150786
46650,269.67,115.925,0.00149756
46700,269.81,115.193,0.00148733
46750,269.95,114.467,0.00147718
46800,270.09,113.745,0.0014671
46850,270.23,113.028,0.0014571
46900,270.37,112.316,0.00144717
46950,270.51,111.609,0.00143732
47000,270.65,110.906,0.00142753
47050,270.65,110.209,0.00141855
47100,270.65,109.515,0.00140963
47150,270.65,108.826,0.00140076
47200,270.65,108.141,0.00139195
47250,270.65,107.461,0.00138319
47300,270.65,106.785,0.00137449
47350,270.65,106.113,0.00136584
47400,270.65,105.446,0.00135725
47450,270.65,104.782,0.00134871
47500,270.65,104.123,0.00134022
47550,270.65,103.468,0.00133179
47600,270.65,102.817,0.00132341
47650,270.65,102.17,0.00131508
47700,270.65,101.527,0.00130681
47750,270.65,100.888,0.00129859
47800,270.65,100.254,0.00129042
47850,270.65,99.623,0.0012823
47900,270.65,98.9962,0.00127423
47950,270.65,98.3734,0.00126622
48000,270.65,97.7545,0.00125825
48050,270.65,97.1395,0.00125033
48100,270.65,96.5283,0.00124247
48150,270.65,95.921,0.00123465
48200,270.65,95.3176,0.00122688
48250,270.65,94.7179,0.00121916
48300,270.65,94.122,0.00121149
48350,270.65,93.5298,0.00120387
48400,270.65,92.9414,0.0011963
48450,270.65,92.3566,0.00118877
48500,270.65,91.7756,0.00118129
48550,270.65,91.1982,0.00117386
48600,270.65,90.6244,0.00116647
48650,270.65,90.0542,0.00115914
48700,270.65,89.4877,0.00115184
48750,270.65,88.9247,0.0011446
48800,270.65,88.3652,0.00113739
48850,270.65,87.8092,0.00113024
48900,270.65,87.2568,0.00112313
48950,270.65,86.7078,0.00111606
49000,270.65,86.1623,0.00110904
49050,270.65,85.6202,0.00110206
49100,270.65,85.0815,0.00109513
49150,270.65,84.5463,0.00108824
49200,270.65,84.0143,0.00108139
49250,270.65,83.4858,0.00107459
49300,270.65,82.9605,0.00106783
49350,270.65,82.4386,0.00106111
49400,270.65,81.9199,0.00105443
49450,270.65,81.4045,0.0010478
49500,270.65,80.8924,0.00104121
49550,270.65,80.3834,0.00103466
49600,270.65,79.8777,0.00102815
49650,270.65,79.3752,0.00102168
49700,270.65,78.8758,0.00101525
49750,270.65,78.3795,0.00100886
49800,270.65,77.8864,0.00100252
49850,270.65,77.3964,0.00099621
49900,270.65,76.9095,0.000989942
49950,270.65,76.4256,0.000983714
50000,270.65,75.9448,0.000977525
50050,270.65,75.467,0.000971375
50100,270.65,74.9922,0.000965264
50150,270.65,74.5204,0.000959191
50200,270.65,74.0515,0.000953156
50250,270.65,73.5856,0.000947159
50300,270.65,73.1227,0.0009412
50350,270.65,72.6626,0.000935279
50400,270.65,72.2055,0.000929395
50450,270.65,71.7512,0.000923547
50500,270.65,71.2998,0.000917737
50550,270.65,70.8512,0.000911963
50600,270.65,70.4054,0.000906225
50650,270.65,69.9625,0.000900524
50700,270.65,69.5223,0.000894858
50750,270.65,69.0849,0.000889228
50800,270.65,68.6503,0.000883634
50850,270.65,68.2184,0.000878075
50900,270.65,67.7892,0.00087255
50950,270.65,67.3627,0.000867061
51000,270.65,66.9389,0.000861606
51050,270.51,66.5176,0.000856626
51100,270.37,66.0988,0.000851674
51150,270.23,65.6824,0.000846747
51200,270.09,65.2684,0.000841846
51250,269.95,64.8568,0.000836971
51300,269.81,64.4476,0.000832122
51350,269.67,64.0408,0.000827298
51400,269.53,63.6363,0.0008225
51450,269.39,63.2342,0.000817728
51500,269.25,62.8344,0.00081298
51550,269.11,62.4369,0.000808258
51600,268.97,62.0418,0.00080356
51650,268.83,61.6489,0.000798888
51700,268.69,61.2583,0.00079424
51750,268.55,60.87,0.000789617
51800,268.41,60.484,0.000785018
51850,268.27,60.1002,0.000780444
51900,268.13,59.7186,0.000775894
51950,267.99,59.3393,0.000771368
52000,267.85,58.9622,0.000766867
52050,267.71,58.5872,0.000762389
52100,267.57,58.2145,0.000757935
52150,267.43,57.844,0.000753505
52200,267.29,57.4756,0.000749098
52250,267.15,57.1093,0.000744715
52300,267.01,56.7453,0.000740355
52350,266.87,56.3833,0.000736019
52400,266.73,56.0235,0.000731705
52450,266.59,55.6657,0.000727415
52500,266.45,55.3101,0.000723147
52550,266.31,54.9566,0.000718903
52600,266.17,54.6051,0.000714681
52650,266.03,54.2557,0.000710482
52700,265.89,53.9084,0.000706305
52750,265.75,53.563,0.00070215
52800,265.61,53.2198,0.000698018
52850,265.47,52.8785,0.000693908
52900,265.33,52.5393,0.00068982
52950,265.19,52.202,0.000685754
53000,265.05,51.8668,0.00068171
53050,264.91,51.5335,0.000677687
53100,264.77,51.2022,0.000673687
53150,264.63,50.8728,0.000669707
53200,264.49,50.5454,0.000665749
53250,264.35,50.22,0.000661813
53300,264.21,49.8964,0.000657897
53350,264.07,49.5748,0.000654003
53400,263.93,49.2551,0.00065013
53450,263.79,48.9372,0.000646278
53500,263.65,48.6213,0.000642446
53550,263.51,48.3072,0.000638635
53600,263.37,47.995,0.000634845
53650,263.23,47.6846,0.000631075
53700,263.09,47.3761,0.000627326
53750,262.95,47.0694,0.000623597
53800,262.81,46.7646,0.000619888
53850,262.67,46.4615,0.000616199
53900,262.53,46.1603,0.00061253
53950,262.39,45.8608,0.000608881
54000,262.25,45.5632,0.000605252
54050,262.11,45.2673,0.000601643
54100,261.97,44.9731,0.000598053
54150,261.83,44.6808,0.000594483
54200,261.69,44.3902,0.000590932
54250,261.55,44.1013,0.000587401
54300,261.41,43.8141,0.000583888
54350,261.27,43.5287,0.000580395
54400,261.13,43.2449,0.000576921
54450,260.99,42.9629,0.000573466
54500,260.85,42.6826,0.00057003
54550,260.71,42.4039,0.000566612
54600,260.57,42.1269,0.000563214
54650,260.43,41.8516,0.000559833
54700,260.29,41.5779,0.000556472
54750,260.15,41.3058,0.000553128
54800,260.01,41.0354,0.000549803
54850,259.87,40.7667,0.000546496
54900,259.73,40.4995,0.000543208
54950,259.59,40.234,0.000539937
55000,259.45,39.97,0.000536684
55050,259.31,39.7077,0.000533449
55100,259.17,39.4469,0.000530232
55150,259.03,39.1877,0.000527033
55200,258.89,38.93,0.000523851
55250,258.75,38.6739,0.000520686
55300,258.61,38.4194,0.000517539
55350,258.47,38.1664,0.00051441
55400,258.33,37.9149,0.000511298
55450,258.19,37.665,0.000508202
55500,258.05,37.4166,0.000505124
55550,257.91,37.1696,0.000502063
55600,257.77,36.9242,0.000499019
55650,257.63,36.6803,0.000495991
55700,257.49,36.4378,0.000492981
55750,257.35,36.1968,0.000489987
55800,257.21,35.9573,0.000487009
55850,257.07,35.7192,0.000484048
55900,256.93,35.4826,0.000481104
55950,256.79,35.2474,0.000478175
56000,256.65,35.0137,0.000475263
56050,256.51,34.7813,0.000472368
56100,256.37,34.5504,0.000469488
56150,256.23,34.3209,0.000466624
56200,256.09,34.0928,0.000463776
56250,255.95,33.8661,0.000460944
56300,255.81,33.6408,0.000458128
56350,255.67,33.4168,0.000455327
56400,255.53,33.1943,0.000452542
56450,255.39,32.973,0.000449773
56500,255.25,32.7532,0.000447019
56550,255.11,32.5347,0.00044428
56600,254.97,32.3175,0.000441557
56650,254.83,32.1016,0.000438849
56700,254.69,31.8871,0.000436156
56750,254.55,31.6739,0.000433478
56800,254.41,31.462,0.000430815
56850,254.27,31.2514,0.000428167
56900,254.13,31.0421,0.000425534
56950,253.99,30.8341,0.000422915
57000,253.85,30.6274,0.000420311
57050,253.71,30.4219,0.000417722
57100,253.57,30.2178,0.000415147
57150,253.43,30.0148,0.000412587
57200,253.29,29.8131,0.000410041
57250,253.15,29.6127,0.00040751
57300,253.01,29.4135,0.000404993
57350,252.87,29.2155,0.00040249
57400,252.73,29.0188,0.000400001
57450,252.59,28.8233,0.000397526
57500,252.45,28.629,0.000395065
57550,252.31,28.4358,0.000392618
57600,252.17,28.2439,0.000390184
57650,252.03,28.0532,0.000387765
57700,251.89,27.8637,0.000385359
57750,251.75,27.6753,0.000382967
57800,251.61,27.4881,0.000380588
57850,251.47,27.3021,0.000378222
57900,251.33,27.1172,0.000375871
57950,251.19,26.9335,0.000373532
58000,251.05,26.7509,0.000371207
58050,250.91,26.5694,0.000368895
58100,250.77,26.3891,0.000366596
58150,250.63,26.2099,0.00036431
58200,250.49,26.0318,0.000362037
58250,250.35,25.8549,0.000359777
58300,250.21,25.679,0.000357529
58350,250.07,25.5043,0.000355295
58400,249.93,25.3306,0.000353073
58450,249.79,25.158,0.000350864
58500,249.65,24.9865,0.000348668
58550,249.51,24.8161,0.000346484
58600,249.37,24.6467,0.000344313
58650,249.23,24.4784,0.000342154
58700,249.09,24.3112,0.000340007
58750,248.95,24.145,0.000337873
58800,248.81,23.9798,0.00033575
58850,248.67,23.8157,0.00033364
58900,248.53,23.6526,0.000331542
58950,248.39,23.4906,0.000329456
59000,248.25,23.3296,0.000327382
59050,248.11,23.1695,0.00032532
59100,247.97,23.0105,0.00032327
59150,247.83,22.8525,0.000321232
59200,247.69,22.6955,0.000319205
59250,247.55,22.5395,0.00031719
59300,247.41,22.3844,0.000315186
59350,247.27,22.2304,0.000313194
59400,247.13,22.0773,0.000311214
59450,246.99,21.9252,0.000309245
59500,246.85,21.774,0.000307287
59550,246.71,21.6238,0.00030534
59600,246.57,21.4746,0.000303405
59650,246.43,21.3263,0.000301481
59700,246.29,21.1789,0.000299568
59750,246.15,21.0325,0.000297666
59800,246.01,20.887,0.000295775
59850,245.87,20.7425,0.000293896
59900,245.73,20.5988,0.000292027
59950,245.59,20.4561,0.000290168
60000,245.45,20.3143,0.000288321
60050,245.31,20.1733,0.000286484
60100,245.17,20.0333,0.000284658
60150,245.03,19.8942,0.000282843
60200,244.89,19.7559,0.000281038
60250,244.75,19.6186,0.000279243
60300,244.61,19.4821,0.000277459
60350,244.47,19.3465,0.000275686
60400,244.33,19.2117,0.000273923
60450,244.19,19.0779,0.00027217
60500,244.05,18.9448,0.000270427
60550,243.91,18.8127,0.000268694
60600,243.77,18.6813,0.000266972
60650,243.63,18.5508,0.00026526
60700,243.49,18.4212,0.000263557
60750,243.35,18.2924,0.000261865
60800,243.21,18.1644,0.000260182
60850,243.07,18.0372,0.000258509
60900,242.93,17.9109,0.000256847
60950,242.79,17.7853,0.000255193
61000,242.65,17.6606,0.00025355
61050,242.51,17.5367,0.000251916
61100,242.37,17.4136,0.000250292
61150,242.23,17.2912,0.000248677
61200,242.09,17.1697,0.000247072
61250,241.95,17.0489,0.000245477
61300,241.81,16.929,0.00024389
61350,241.67,16.8098,0.000242313
61400,241.53,16.6913,0.000240746
61450,241.39,16.5737,0.000239187
61500,241.25,16.4568,0.000237638
61550,241.11,16.3406,0.000236098
61600,240.97,16.2252,0.000234567
61650,240.83,16.1106,0.000233045
61700,240.69,15.9967,0.000231532
61750,240.55,15.8835,0.000230028
61800,240.41,15.7711,0.000228533
61850,240.27,15.6594,0.000227046
61900,240.13,15.5485,0.000225569
61950,239.99,15.4382,0.0002241
62000,239.85,15.3287,0.00022264
62050,239.71,15.2199,0.000221189
62100,239.57,15.1118,0.000219746
62150,239.43,15.0044,0.000218312
62200,239.29,14.8977,0.000216886
62250,239.15,14.7917,0.000215469
62300,239.01,14.6864,0.000214061
62350,238.87,14.5818,0.00021266
62400,238.73,14.4778,0.000211268
62450,238.59,14.3746,0.000209885
62500,238.45,14.272,0.000208509
62550,238.31,14.1701,0.000207142
62600,238.17,14.0689,0.000205783
62650,238.03,13.9683,0.000204432
62700,237.89,13.8684,0.00020309
62750,237.75,13.7691,0.000201755
62800,237.61,13.6705,0.000200428
62850,237.47,13.5726,0.000199109
62900,237.33,13.4753,0.000197798
62950,237.19,13.3786,0.000196495
63000,237.05,13.2826,0.0001952
63050,236.91,13.1872,0.000193913
63100,236.77,13.0924,0.000192633
63150,236.63,12.9983,0.000191361
63200,236.49,12.9047,0.000190097
63250,236.35,12.8118,0.00018884
63300,236.21,12.7196,0.000187591
63350,236.07,12.6279,0.000186349
63400,235.93,12.5368,0.000185115
63450,235.79,12.4463,0.000183888
63500,235.65,12.3565,0.000182669
63550,235.51,12.2672,0.000181457
63600,235.37,12.1785,0.000180253
63650,235.23,12.0904,0.000179055
63700,235.09,12.0029,0.000177865
63750,234.95,11.916,0.000176682
63800,234.81,11.8297,0.000175507
63850,234.67,11.7439,0.000174338
63900,234.53,11.6587,0.000173177
63950,234.39,11.5741,0.000172022
64000,234.25,11.49,0.000170875
64050,234.11,11.4065,0.000169735
64100,233.97,11.3235,0.000168601
64150,233.83,11.2412,0.000167474
64200,233.69,11.1593,0.000166355
64250,233.55,11.078,0.000165242
64300,233.41,10.9973,0.000164136
64350,233.27,10.917,0.000163036
64400,233.13,10.8374,0.000161944
64450,232.99,10.7582,0.000160858
64500,232.85,10.6796,0.000159778
64550,232.71,10.6015,0.000158706
64600,232.57,10.524,0.000157639
64650,232.43,10.447,0.00015658
64700,232.29,10.3704,0.000155527
64750,232.15,10.2944,0.00015448
64800,232.01,10.2189,0.00015344
64850,231.87,10.144,0.000152406
64900,231.73,10.0695,0.000151378
64950,231.59,9.99551,0.000150357
65000,231.45,9.92203,0.000149342
65050,231.31,9.84905,0.000148333
65100,231.17,9.77656,0.000147331
65150,231.03,9.70457,0.000146334
65200,230.89,9.63306,0.000145344
65250,230.75,9.56203,0.00014436
65300,230.61,9.49149,0.000143382
65350,230.47,9.42142,0.00014241
65400,230.33,9.35183,0.000141444
65450,230.19,9.28271,0.000140484
65500,230.05,9.21406,0.00013953
65550,229.91,9.14588,0.000138582
65600,229.77,9.07816,0.000137639
65650,229.63,9.0109,0.000136703
65700,229.49,8.9441,0.000135772
65750,229.35,8.87775,0.000134847
